beach_id,height,period,direction,hits_at,pred_dtime
1,7.0,11.1,16,2004-03-03 04:00:00,2004-01-01 00:00:00
1,7.2,11.1,15,2004-03-03 02:00:00,2004-01-01 00:00:00
1,7.1,11.0,14,2004-03-03 00:00:00,2004-01-01 00:00:00
1,6.1,10.3,12,2004-03-02 20:00:00,2004-01-01 00:00:00
1,5.9,10.2,12,2004-03-02 19:00:00,2004-01-01 00:00:00
1,5.6,9.9,10,2004-03-02 17:00:00,2004-01-01 00:00:00
1,5.4,9.6,9,2004-03-02 16:00:00,2004-01-01 00:00:00
1,4.6,9.2,10,2004-03-02 13:00:00,2004-01-01 00:00:00
1,4.4,9.1,10,2004-03-02 12:00:00,2004-01-01 00:00:00
1,3.2,12.3,96,2004-05-28 23:00:00,2004-01-01 00:00:00
1,0.6,8.7,113,2004-05-24 14:00:00,2004-01-01 00:00:00
1,0.4,16.3,20,2004-05-24 03:00:00,2004-01-01 00:00:00
1,0.4,8.9,109,2004-05-26 13:00:00,2004-01-01 00:00:00
1,2.9,11.2,84,2004-03-18 06:00:00,2004-01-01 00:00:00
1,3.6,11.2,77,2004-03-18 04:00:00,2004-01-01 00:00:00
1,3.5,11.6,79,2004-03-18 01:00:00,2004-01-01 00:00:00
1,4.0,11.7,80,2004-03-17 23:00:00,2004-01-01 00:00:00
1,4.1,11.8,79,2004-03-17 21:00:00,2004-01-01 00:00:00
1,4.3,11.9,79,2004-03-17 20:00:00,2004-01-01 00:00:00
1,4.1,11.9,78,2004-03-17 19:00:00,2004-01-01 00:00:00
1,1.7,8.7,97,2004-05-19 09:00:00,2004-01-01 00:00:00
1,4.4,12.2,75,2004-03-17 14:00:00,2004-01-01 00:00:00
1,4.6,12.3,75,2004-03-17 13:00:00,2004-01-01 00:00:00
1,4.5,12.4,74,2004-03-17 12:00:00,2004-01-01 00:00:00
1,4.8,12.9,73,2004-03-17 09:00:00,2004-01-01 00:00:00
1,5.2,13.0,72,2004-03-17 08:00:00,2004-01-01 00:00:00
1,0.4,14.7,21,2004-05-25 16:00:00,2004-01-01 00:00:00
1,5.1,13.1,70,2004-03-17 07:00:00,2004-01-01 00:00:00
1,5.0,13.2,69,2004-03-17 06:00:00,2004-01-01 00:00:00
1,5.4,13.2,67,2004-03-17 05:00:00,2004-01-01 00:00:00
1,5.3,13.2,66,2004-03-17 04:00:00,2004-01-01 00:00:00
1,5.3,13.1,62,2004-03-17 02:00:00,2004-01-01 00:00:00
1,0.4,8.9,110,2004-05-26 10:00:00,2004-01-01 00:00:00
1,5.7,10.8,52,2004-03-16 22:00:00,2004-01-01 00:00:00
1,4.7,11.1,70,2004-03-16 19:00:00,2004-01-01 00:00:00
1,3.8,11.8,84,2004-03-16 16:00:00,2004-01-01 00:00:00
1,3.8,11.6,85,2004-03-16 15:00:00,2004-01-01 00:00:00
1,3.5,11.5,86,2004-03-16 14:00:00,2004-01-01 00:00:00
1,3.2,11.3,90,2004-03-16 08:00:00,2004-01-01 00:00:00
1,3.2,11.3,91,2004-03-16 07:00:00,2004-01-01 00:00:00
1,0.4,16.2,20,2004-05-24 06:00:00,2004-01-01 00:00:00
1,4.2,11.1,68,2004-03-16 06:00:00,2004-01-01 00:00:00
1,4.2,11.1,71,2004-03-16 05:00:00,2004-01-01 00:00:00
1,4.3,11.1,75,2004-03-16 02:00:00,2004-01-01 00:00:00
1,4.2,11.0,75,2004-03-16 01:00:00,2004-01-01 00:00:00
1,0.4,8.9,110,2004-05-26 11:00:00,2004-01-01 00:00:00
1,4.1,10.5,59,2004-03-16 00:00:00,2004-01-01 00:00:00
1,4.0,10.3,58,2004-03-15 23:00:00,2004-01-01 00:00:00
1,2.3,10.9,83,2004-03-15 18:00:00,2004-01-01 00:00:00
1,1.1,16.2,20,2004-05-24 09:00:00,2004-01-01 00:00:00
1,2.7,12.2,95,2004-05-29 02:00:00,2004-01-01 00:00:00
1,5.9,12.6,98,2004-03-15 03:00:00,2004-01-01 00:00:00
1,5.8,12.7,99,2004-03-15 02:00:00,2004-01-01 00:00:00
1,6.4,12.9,100,2004-03-15 00:00:00,2004-01-01 00:00:00
1,5.8,12.9,100,2004-03-14 23:00:00,2004-01-01 00:00:00
1,6.1,13.0,100,2004-03-14 22:00:00,2004-01-01 00:00:00
1,6.4,13.1,100,2004-03-14 21:00:00,2004-01-01 00:00:00
1,6.4,14.0,100,2004-03-14 17:00:00,2004-01-01 00:00:00
1,7.3,14.2,99,2004-03-14 15:00:00,2004-01-01 00:00:00
